;Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
31;CL;Hualpén;JUNJI;-36.780632,-73.115657;CO;Chile - SINCA;µg/m³;964.77;2021-08-06T13:00:00+02:00;Chile
35;CL;Huasco;EME F;-28.4664230019,-71.2215542793;CO;Chile - SINCA;µg/m³;928.75;2021-08-06T13:00:00+02:00;Chile
73;CN;邯郸市;峰峰矿区临水派出所;36.44293,114.20016;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
85;CN;恩施土家族苗族自治州;龙凤新区;30.3772,109.5061;CO;ChinaAQIData;µg/m³;1100.0;2021-08-06T13:00:00+02:00;China
109;NL;Hoek v. Holland;Hoek v. Holland-Berghaven;51.9778,4.12194;NO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
112;NL;Rotterdam Zuid;Rotterdam Zuid-Pleinweg;51.8911,4.48069;NO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
114;NL;Ridderkerk;Ridderkerk-Hogeweg;51.8694,4.58006;NO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
117;NL;Botlek;Botlek-Oude Maasweg;;SO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
139;CN;汕头市;龙湖子站;23.3633,116.7244;CO;ChinaAQIData;µg/m³;1100.0;2021-08-06T13:00:00+02:00;China
167;CN;呼和浩特市;化肥厂生活区;40.7612,111.717;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
313;CN;临汾市;技工学校;36.0714,111.5028;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
412;CN;辽阳市;滨河路;41.2639,123.2354;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
437;CN;六盘水市;黄土坡;26.5917,104.83;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
448;CN;阳泉市;南庄;37.8486,113.5819;CO;ChinaAQIData;µg/m³;1200.0;2021-08-06T13:00:00+02:00;China
569;SK;Trnavský kraj;SK0045A;48.3711090095,17.58501816;CO;EEA Slovakia;µg/m³;999.108;2021-08-06T13:00:00+02:00;Slovakia
575;CN;四平市;境园;43.193,124.388;CO;ChinaAQIData;µg/m³;1300.0;2021-08-06T13:00:00+02:00;China
633;CN;遵义市;第十二小学;27.5919,106.8547;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
671;NL;Hoogvliet;Hoogvliet-Leemkuil;51.8674,4.35524;PM10;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
730;PK;Islamabad;US Diplomatic Post: Islamabad;33.7235,73.11822;PM2.5;StateAir_Islamabad;µg/m³;-999.0;2021-08-06T13:00:00+02:00;Pakistan
782;CN;济南市;东山小学;36.6868,117.532;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
886;CL;Laja;Laja;-37.2678031387,-72.7106952667;CO;Chile - SINCA;µg/m³;1009.71;2021-08-06T13:00:00+02:00;Chile
917;CN;东莞市;万江金泰;23.0381,113.7338;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
924;CN;玉林市;玉林师范学院东校区;22.6831,110.1945;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
956;CN;广元市;老城;32.4444,105.821;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
960;CN;九江市;西园;29.7295,115.9877;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
974;CN;大同市;云冈宾馆;40.0758,113.2994;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
1068;CN;郑州市;经开区管委;34.7178,113.7329;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
1073;CN;益阳市;赫山环保分局;28.5819,112.3744;CO;ChinaAQIData;µg/m³;1300.0;2021-08-06T13:00:00+02:00;China
1079;CN;韶关市;韶关学院;24.7791,113.6735;CO;ChinaAQIData;µg/m³;1500.0;2021-08-06T13:00:00+02:00;China
1335;NL;Schiedam;Schiedam-Alphons Arienstraat;51.9214,4.40139;PM2.5;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
1339;ES;Cádiz;ES1593A;36.4605899995,-6.20307;CO;EEA Spain;µg/m³;1372.0;2021-08-06T08:00:00+02:00;Spain
1367;CN;承德市;文化中心;40.9655,117.8051;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
1396;CN;唐山市;冀东油田职工医院;39.2762,118.4359;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
1464;ES;Huelva;ES1792A;37.1337899995,-6.80745;PM2.5;EEA Spain;µg/m³;991.0;2021-08-06T08:00:00+02:00;Spain
1493;CN;潮州市;市政府;23.6608,116.6183;CO;ChinaAQIData;µg/m³;1700.0;2021-08-06T13:00:00+02:00;China
1519;CN;盘锦市;开发区;41.1489,122.0303;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
1529;CN;防城港市;防城档案局;21.7731,108.3514;CO;ChinaAQIData;µg/m³;1300.0;2021-08-06T13:00:00+02:00;China
1615;CL;Concón;Concón;-32.924568,-71.515399;CO;Chile - SINCA;µg/m³;970.33;2021-08-06T13:00:00+02:00;Chile
1662;CN;梧州市;龙新;23.4835,111.2711;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
1669;CN;南京市;瑞金路;32.0309,118.8109;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
1703;CN;阜新市;东苑;42.0224,121.6717;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
1711;CN;朝阳市;八里堡;41.5648,120.4176;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
1714;CN;朔州市;区政府;39.3197,112.4258;CO;ChinaAQIData;µg/m³;1200.0;2021-08-06T13:00:00+02:00;China
1724;MM;Rangoon;US Diplomatic Post: Rangoon;16.8256,96.1445;PM2.5;StateAir_Rangoon;µg/m³;-999.0;2021-08-06T09:30:00+02:00;Myanmar
1732;NL;Rotterdam Noord;Rotterdam Noord -Statenweg;;O3;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
1779;CN;梅州市;梅龙;24.2991,116.1233;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
1791;NL;Hoogvliet;Hoogvliet-Leemkuil;51.8674,4.35524;NO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
1797;NL;Maassluis;Maassluis-Kwartellaan;51.932,4.22802;O3;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
